SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
16420.239 -0.900 0.900 0.014 1953.126 44.194 0.900 0.108 
14254.172 -0.900 0.900 0.016 1955.656 44.223 0.900 0.056 
13403.764 -0.900 0.900 0.017 1953.126 44.194 0.900 0.108 
13177.150 -0.900 0.900 0.018 1955.656 44.223 0.900 0.056 
1765.833 -1.100 0.850 0.110 1318.304 36.308 0.900 0.672 
1740.289 -1.100 0.850 0.112 1318.304 36.308 0.900 0.672 
1709.454 -1.100 0.850 0.114 1318.304 36.308 0.900 0.672 
1708.665 -1.100 0.850 0.114 1318.304 36.308 0.900 0.672 
730.321 -1.100 0.832 0.374 2712.858 52.085 0.315 0.672 
709.654 -1.100 0.832 0.387 2740.488 52.350 0.300 0.672
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  
684.945 -1.100 0.853 0.379 2433.275 49.328 0.277 0.672 
