SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
28642.186 -0.900 0.900 0.008 1934.217 43.980 0.900 0.108 
23016.753 -0.900 0.900 0.010 1936.509 44.006 0.900 0.056 
22158.146 -0.900 0.900 0.011 1934.217 43.980 0.900 0.108 
20125.186 -0.900 0.900 0.012 1936.509 44.006 0.900 0.056 
1756.623 -1.100 0.850 0.110 1289.732 35.913 0.900 0.672 
1696.111 -1.100 0.850 0.113 1289.732 35.913 0.900 0.672 
1672.806 -1.100 0.850 0.115 1289.732 35.913 0.900 0.672 
1674.094 -1.100 0.850 0.115 1289.732 35.913 0.900 0.672 
727.923 -1.100 0.832 0.369 2614.949 51.137 0.315 0.672 
704.251 -1.100 0.832 0.383 2642.170 51.402 0.300 0.672 
704.294 -1.100 0.905 0.293 1502.109 38.757 0.300 0.672 
689.088 -1.100 0.853 0.371 2353.239 48.510 0.277 0.672 
