SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
34048.493 -0.900 0.900 0.007 1948.675 44.144 0.900 0.108 
29347.090 -0.900 0.900 0.008 1951.550 44.176 0.900 0.056 
26546.490 -0.900 0.900 0.009 1948.675 44.144 0.900 0.108 
26591.033 -0.900 0.900 0.009 1951.550 44.176 0.900 0.056 
1695.572 -1.100 0.850 0.115 1322.488 36.366 0.900 0.672 
1702.983 -1.100 0.850 0.114 1322.488 36.366 0.900 0.672 
1660.429 -1.100 0.850 0.117 1322.488 36.366 0.900 0.672 
1680.210 -1.100 0.850 0.116 1322.488 36.366 0.900 0.672 
737.809 -1.100 0.832 0.371 2724.473 52.196 0.315 0.672 
714.706 -1.100 0.832 0.385 2754.940 52.488 0.300 0.672 
714.948 -1.100 0.905 0.293 1544.836 39.304 0.300 0.672 
699.585 -1.100 0.853 0.372 2447.748 49.475 0.277 0.672 
