SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
15147.848 -0.900 0.900 0.015 1914.128 43.751 0.900 0.108 
12698.587 -0.900 0.900 0.018 1916.559 43.779 0.900 0.056 
12580.695 -0.900 0.900 0.018 1914.128 43.751 0.900 0.108 
12002.373 -0.900 0.900 0.019 1916.559 43.779 0.900 0.056 
1764.459 -1.100 0.850 0.108 1253.724 35.408 0.900 0.672 
1745.168 -1.100 0.850 0.109 1253.724 35.408 0.900 0.672 
1690.908 -1.100 0.850 0.112 1253.724 35.408 0.900 0.672 
1689.995 -1.100 0.850 0.112 1253.724 35.408 0.900 0.672 
716.148 -1.100 0.832 0.374 2603.214 51.022 0.315 0.672 
693.095 -1.100 0.832 0.388 2627.521 51.259 0.300 0.672 
529.010 -1.100 0.905 0.387 1473.939 38.392 0.300 0.672 
670.653 -1.100 0.853 0.379 2324.177 48.210 0.277 0.672  
