SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
10791.486 -0.900 0.900 0.023 2166.536 46.546 0.900 0.108 
9551.178 -0.900 0.900 0.026 2168.481 46.567 0.900 0.056 
8965.397 -0.900 0.900 0.027 2166.536 46.546 0.900 0.108 
8712.819 -0.900 0.900 0.028 2168.481 46.567 0.900 0.056 
1882.291 -1.100 0.850 0.107 1433.406 37.860 0.900 0.672 
1806.748 -1.100 0.850 0.112 1433.406 37.860 0.900 0.672 
1779.512 -1.100 0.850 0.114 1433.406 37.860 0.900 0.672 
1741.990 -1.100 0.850 0.116 1433.406 37.860 0.900 0.672 
736.551 -1.100 0.832 0.375 2779.765 52.723 0.315 0.672 
707.107 -1.100 0.832 0.393 2805.837 52.970 0.300 0.672 
709.932 -1.100 0.905 0.299 1595.098 39.939 0.300 0.672 
693.159 -1.100 0.853 0.379 2499.381 49.994 0.277 0.672 
