SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
7708.916 -0.900 0.900 0.033 2347.750 48.454 0.900 0.108 
7358.594 -0.900 0.900 0.035 2349.713 48.474 0.900 0.056 
7433.749 -0.900 0.900 0.034 2347.750 48.454 0.900 0.108 
7438.112 -0.900 0.900 0.034 2349.713 48.474 0.900 0.056 
1880.825 -1.100 0.850 0.112 1556.520 39.453 0.900 0.672 
1850.461 -1.100 0.850 0.114 1556.520 39.453 0.900 0.672 
1752.718 -1.100 0.850 0.120 1556.520 39.453 0.900 0.672 
1778.300 -1.100 0.850 0.118 1556.520 39.453 0.900 0.672 
782.203 -1.100 0.832 0.364 2957.306 54.381 0.315 0.672 
744.154 -1.100 0.832 0.384 2982.831 54.615 0.300 0.672 
750.924 -1.100 0.905 0.291 1691.122 41.123 0.300 0.672 
727.958 -1.100 0.853 0.371 2646.818 51.447 0.277 0.672 
