SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
15298.509 -0.900 0.900 0.015 1954.720 44.212 0.900 0.108 
12820.223 -0.900 0.900 0.018 1955.692 44.223 0.900 0.056 
12705.823 -0.900 0.900 0.018 1954.720 44.212 0.900 0.108 
12117.340 -0.900 0.900 0.019 1955.692 44.223 0.900 0.056 
1816.735 -1.100 0.850 0.108 1334.907 36.536 0.900 0.672 
1796.872 -1.100 0.850 0.109 1334.907 36.536 0.900 0.672 
1741.005 -1.100 0.850 0.112 1334.907 36.536 0.900 0.672 
1740.064 -1.100 0.850 0.112 1334.907 36.536 0.900 0.672 
725.294 -1.100 0.832 0.374 2679.293 51.762 0.315 0.672 
702.240 -1.100 0.832 0.389 2707.003 52.029 0.300 0.672 
538.289 -1.100 0.905 0.387 1526.198 39.067 0.300 0.672 
681.089 -1.100 0.853 0.379 2407.305 49.064 0.277 0.672 
