Label,Mode,NegCosCut,PosCosCut,BkgMCSR,BkgMCSB,BkgFractionSR,BkgFractionSB,BkgSR,BkgSB,TransferFactor_SR_over_SB,SidebandStatRel,SidebandStatAbsSR
b1p1_m05,BDT_ONLY,-0.9,0.9,38820,337121,0.1032608840216949,0.8967391159783051,7732.1130390141,67147.28696098589,0.11515153312905456,0.003859097623098758,29.838979050390225
b1p1_m10,BDT_ONLY,-0.9,0.9,38820,337121,0.1032608840216949,0.8967391159783051,7732.1130390141,67147.28696098589,0.11515153312905456,0.003859097623098758,29.838979050390225
b1p1_m20,BDT_ONLY,-0.9,0.9,38820,337121,0.1032608840216949,0.8967391159783051,7732.1130390141,67147.28696098589,0.11515153312905456,0.003859097623098758,29.838979050390225
b1p1_m40,BDT_ONLY,-0.9,0.9,38820,337121,0.1032608840216949,0.8967391159783051,7732.1130390141,67147.28696098589,0.11515153312905456,0.003859097623098758,29.838979050390225
b1p5_m05,CVN_ONLY,-1.1,0.85,29089,346852,0.07737650322790013,0.9226234967720999,5793.906135803224,69085.49386419677,0.08386574100769204,0.0038045786523530794,22.043371598014467
b1p5_m10,CVN_ONLY,-1.1,0.85,29089,346852,0.07737650322790013,0.9226234967720999,5793.906135803224,69085.49386419677,0.08386574100769204,0.0038045786523530794,22.043371598014467
b1p5_m20,CVN_ONLY,-1.1,0.85,29089,346852,0.07737650322790013,0.9226234967720999,5793.906135803224,69085.49386419677,0.08386574100769204,0.0038045786523530794,22.043371598014467
b1p5_m40,CVN_ONLY,-1.1,0.85,29089,346852,0.07737650322790013,0.9226234967720999,5793.906135803224,69085.49386419677,0.08386574100769204,0.0038045786523530794,22.043371598014467
b10_m05,CVN_ONLY,-1.1,0.8421052631578948,30584,345357,0.08135319105923536,0.9186468089407647,6091.6781346009075,68787.72186539909,0.08855763745920887,0.003812804492439961,23.226377758104622
b10_m10,CVN_ONLY,-1.1,0.8421052631578948,30584,345357,0.08135319105923536,0.9186468089407647,6091.6781346009075,68787.72186539909,0.08855763745920887,0.003812804492439961,23.226377758104622
b10_m20,CVN_ONLY,-1.1,0.9157894736842105,16242,359699,0.04320358779702134,0.9567964122029786,3235.0587320882796,71644.34126791172,0.04515442077959627,0.003736018800557366,12.086240243989087
b10_m40,CVN_ONLY,-1.1,0.8421052631578948,30584,345357,0.08135319105923536,0.9186468089407647,6091.6781346009075,68787.72186539909,0.08855763745920887,0.003812804492439961,23.226377758104622
