# bin_low bin_high n_reco n_sim efficiency stat_uncertainty
1.000000000000000056e-01 1.122018454301963591e-01 7.132000000000000000e+03 1.909600000000000000e+04 3.734813573523250718e-01 3.500501438304839952e-03
1.122018454301963591e-01 1.258925411794167282e-01 8.455000000000000000e+03 2.021100000000000000e+04 4.183365494037900034e-01 3.469803586264428967e-03
1.258925411794167282e-01 1.412537544622754493e-01 1.037900000000000000e+04 2.153900000000000000e+04 4.818700961047402420e-01 3.404642756828859824e-03
1.412537544622754493e-01 1.584893192461113431e-01 1.240800000000000000e+04 2.233700000000000000e+04 5.554908895554461212e-01 3.324806549875800737e-03
1.584893192461113431e-01 1.778279410038922925e-01 1.475400000000000000e+04 2.373000000000000000e+04 6.217446270543616205e-01 3.148108588624771043e-03
1.778279410038922925e-01 1.995262314968879735e-01 1.951800000000000000e+04 2.771400000000000000e+04 7.042649924226023206e-01 2.741383615274393948e-03
1.995262314968879735e-01 2.238721138568340041e-01 2.421200000000000000e+04 3.189300000000000000e+04 7.591634527952841882e-01 2.394314280807249666e-03
2.238721138568340041e-01 2.511886431509580131e-01 2.757300000000000000e+04 3.499700000000000000e+04 7.878675315027002801e-01 2.185318617887017922e-03
2.511886431509580131e-01 2.818382931264453717e-01 3.207800000000000000e+04 3.935500000000000000e+04 8.150933807648329532e-01 1.956951010690835546e-03
2.818382931264453717e-01 3.162277660168379412e-01 3.776600000000000000e+04 4.520600000000000000e+04 8.354200769809316807e-01 1.743985385026235050e-03
3.162277660168379412e-01 3.548133892335754713e-01 4.263900000000000000e+04 5.025000000000000000e+04 8.485373134328357825e-01 1.599264390259055955e-03
3.548133892335754713e-01 3.981071705534973137e-01 4.573500000000000000e+04 5.287500000000000000e+04 8.649645390070922479e-01 1.486270565604184838e-03
3.981071705534973137e-01 4.466835921509631491e-01 4.780300000000000000e+04 5.429200000000000000e+04 8.804796286745745215e-01 1.392235497963055903e-03
4.466835921509631491e-01 5.011872336272723549e-01 4.965700000000000000e+04 5.551400000000000000e+04 8.944950823215764846e-01 1.303839306871593670e-03
5.011872336272723549e-01 5.623413251903490728e-01 4.766100000000000000e+04 5.274900000000000000e+04 9.035431951316612587e-01 1.285386635781305764e-03
5.623413251903490728e-01 6.309573444801933606e-01 4.683100000000000000e+04 5.126600000000000000e+04 9.134904225022432156e-01 1.241564762276343731e-03
6.309573444801933606e-01 7.079457843841380216e-01 4.565300000000000000e+04 4.969400000000000000e+04 9.186823358956816010e-01 1.226092264839451608e-03
7.079457843841380216e-01 7.943282347242814900e-01 4.519500000000000000e+04 4.905900000000000000e+04 9.212376933895921605e-01 1.216146003694307861e-03
7.943282347242814900e-01 8.912509381337456738e-01 4.496700000000000000e+04 4.864000000000000000e+04 9.244860197368420796e-01 1.198028285638632392e-03
8.912509381337456738e-01 1.000000000000000000e+00 4.255900000000000000e+04 4.584800000000000000e+04 9.282629558541266590e-01 1.205166499767952202e-03
1.000000000000000000e+00 1.122018454301963564e+00 4.043300000000000000e+04 4.361400000000000000e+04 9.270647039941303236e-01 1.245119224386486432e-03
1.122018454301963564e+00 1.258925411794167504e+00 3.625600000000000000e+04 3.895200000000000000e+04 9.307866091599917846e-01 1.286042277048400542e-03
1.258925411794167504e+00 1.412537544622754826e+00 3.349100000000000000e+04 3.595000000000000000e+04 9.315994436717663918e-01 1.331358391315343344e-03
1.412537544622754826e+00 1.584893192461114042e+00 3.239600000000000000e+04 3.453700000000000000e+04 9.380085126096650017e-01 1.297558995733575325e-03
1.584893192461114042e+00 1.778279410038922759e+00 3.178100000000000000e+04 3.393100000000000000e+04 9.366361144675959816e-01 1.322537576825729257e-03
1.778279410038922759e+00 1.995262314968879735e+00 2.721000000000000000e+04 2.896500000000000000e+04 9.394096323148627414e-01 1.401820904415089714e-03
1.995262314968879735e+00 2.238721138568339875e+00 2.473800000000000000e+04 2.628300000000000000e+04 9.412167560780733133e-01 1.450888812261071342e-03
2.238721138568339875e+00 2.511886431509581019e+00 2.478300000000000000e+04 2.627600000000000000e+04 9.431800882934997521e-01 1.428130724290735789e-03
2.511886431509581019e+00 2.818382931264455049e+00 2.107200000000000000e+04 2.227300000000000000e+04 9.460782112872087035e-01 1.513408981159941862e-03
