# bin_low bin_high n_reco n_sim efficiency stat_uncertainty
1.000000000000000056e-01 1.122018454301963591e-01 5.160000000000000000e+02 6.167000000000000000e+03 8.367115291065348182e-02 3.525953510260658886e-03
1.122018454301963591e-01 1.258925411794167282e-01 1.076000000000000000e+03 9.110000000000000000e+03 1.181119648737650879e-01 3.381383926556280443e-03
1.258925411794167282e-01 1.412537544622754493e-01 2.203000000000000000e+03 1.105500000000000000e+04 1.992763455450022592e-01 3.799179654497652440e-03
1.412537544622754493e-01 1.584893192461113431e-01 3.205000000000000000e+03 1.473600000000000000e+04 2.174945711183496333e-01 3.398428081696807518e-03
1.584893192461113431e-01 1.778279410038922925e-01 4.757000000000000000e+03 1.853300000000000000e+04 2.566772783683159975e-01 3.208555487084053734e-03
1.778279410038922925e-01 1.995262314968879735e-01 9.079000000000000000e+03 2.672600000000000000e+04 3.397066526977475243e-01 2.897033417061397383e-03
1.995262314968879735e-01 2.238721138568340041e-01 1.043400000000000000e+04 2.710400000000000000e+04 3.849616292798110906e-01 2.955582817774856513e-03
2.238721138568340041e-01 2.511886431509580131e-01 1.654300000000000000e+04 3.643200000000000000e+04 4.540788317962231035e-01 2.608489475719334011e-03
2.511886431509580131e-01 2.818382931264453717e-01 2.034800000000000000e+04 3.769200000000000000e+04 5.398493048922848869e-01 2.567211935632845304e-03
2.818382931264453717e-01 3.162277660168379412e-01 2.349700000000000000e+04 4.191600000000000000e+04 5.605735280083977701e-01 2.424205793843634080e-03
3.162277660168379412e-01 3.548133892335754713e-01 3.758000000000000000e+04 5.991900000000000000e+04 6.271800263689314425e-01 1.975438059817704543e-03
3.548133892335754713e-01 3.981071705534973137e-01 3.353400000000000000e+04 5.192300000000000000e+04 6.458409568014175095e-01 2.098853233389907577e-03
3.981071705534973137e-01 4.466835921509631491e-01 4.063900000000000000e+04 5.894400000000000000e+04 6.894510043431053559e-01 1.905886205533728790e-03
4.466835921509631491e-01 5.011872336272723549e-01 4.697600000000000000e+04 6.629800000000000000e+04 7.085583275513590573e-01 1.764872820293807935e-03
5.011872336272723549e-01 5.623413251903490728e-01 4.378600000000000000e+04 5.955900000000000000e+04 7.351701673970348905e-01 1.808021922569986919e-03
5.623413251903490728e-01 6.309573444801933606e-01 5.260300000000000000e+04 6.920400000000000000e+04 7.601150222530489442e-01 1.623213272562264728e-03
6.309573444801933606e-01 7.079457843841380216e-01 5.020200000000000000e+04 6.441200000000000000e+04 7.793889337390548233e-01 1.633831903780723523e-03
7.079457843841380216e-01 7.943282347242814900e-01 4.759000000000000000e+04 6.013600000000000000e+04 7.913728881202607424e-01 1.656947271184611853e-03
7.943282347242814900e-01 8.912509381337456738e-01 4.915300000000000000e+04 6.074100000000000000e+04 8.092227655125862062e-01 1.594249728611339288e-03
8.912509381337456738e-01 1.000000000000000000e+00 5.259900000000000000e+04 6.421000000000000000e+04 8.191714686185952443e-01 1.518866318038073968e-03
1.000000000000000000e+00 1.122018454301963564e+00 4.476900000000000000e+04 5.401400000000000000e+04 8.288406709371644032e-01 1.620625411762054028e-03
1.122018454301963564e+00 1.258925411794167504e+00 5.033600000000000000e+04 5.969300000000000000e+04 8.432479520211749735e-01 1.488067242418177148e-03
1.258925411794167504e+00 1.412537544622754826e+00 4.162500000000000000e+04 4.914400000000000000e+04 8.470006511476477762e-01 1.623870574480794663e-03
1.412537544622754826e+00 1.584893192461114042e+00 3.830500000000000000e+04 4.461600000000000000e+04 8.585485027792719714e-01 1.649836381297672050e-03
1.584893192461114042e+00 1.778279410038922759e+00 3.664200000000000000e+04 4.229400000000000000e+04 8.663640232657114915e-01 1.654521901137878670e-03
1.778279410038922759e+00 1.995262314968879735e+00 4.018700000000000000e+04 4.601000000000000000e+04 8.734405564007824418e-01 1.550021915382884244e-03
1.995262314968879735e+00 2.238721138568339875e+00 3.125100000000000000e+04 3.549600000000000000e+04 8.804090601757944556e-01 1.722271770414137912e-03
2.238721138568339875e+00 2.511886431509581019e+00 2.837500000000000000e+04 3.204600000000000000e+04 8.854459214878611650e-01 1.779096006480195696e-03
2.511886431509581019e+00 2.818382931264455049e+00 3.242500000000000000e+04 3.631600000000000000e+04 8.928571428571429047e-01 1.623018972651115843e-03
2.818382931264455049e+00 3.162277660168379523e+00 2.362500000000000000e+04 2.613300000000000000e+04 9.040293881299505951e-01 1.822072997106858336e-03
3.162277660168379523e+00 3.548133892335755046e+00 2.223300000000000000e+04 2.460100000000000000e+04 9.037437502540547341e-01 1.880445458984151587e-03
3.548133892335755046e+00 3.981071705534973137e+00 2.368200000000000000e+04 2.587900000000000000e+04 9.151049113180571570e-01 1.732618634487084188e-03
3.981071705534973137e+00 4.466835921509632712e+00 1.730200000000000000e+04 1.883600000000000000e+04 9.185602038649395285e-01 1.992864683959756893e-03
4.466835921509632712e+00 5.011872336272724660e+00 1.700700000000000000e+04 1.839300000000000000e+04 9.246452454738215421e-01 1.946330618343829070e-03
5.011872336272724660e+00 5.623413251903491172e+00 1.611500000000000000e+04 1.747000000000000000e+04 9.224384659416141607e-01 2.023696800484618436e-03
5.623413251903491172e+00 6.309573444801933384e+00 1.300900000000000000e+04 1.395200000000000000e+04 9.324111238532110102e-01 2.125313994071161092e-03
6.309573444801933384e+00 7.079457843841380438e+00 1.273400000000000000e+04 1.359200000000000000e+04 9.368746321365508667e-01 2.085936184830002905e-03
7.079457843841380438e+00 7.943282347242817565e+00 1.072200000000000000e+04 1.139900000000000000e+04 9.406088253355557871e-01 2.213767999326046558e-03
7.943282347242817565e+00 8.912509381337459402e+00 9.558000000000000000e+03 1.008600000000000000e+04 9.476502082093991586e-01 2.217798210041699736e-03
8.912509381337459402e+00 1.000000000000000000e+01 9.202000000000000000e+03 9.659000000000000000e+03 9.526866135210684261e-01 2.160234836780254488e-03
1.000000000000000000e+01 1.122018454301964141e+01 7.873000000000000000e+03 8.247000000000000000e+03 9.546501758215109046e-01 2.291194377968971529e-03
1.122018454301964141e+01 1.258925411794167459e+01 6.513000000000000000e+03 6.824000000000000000e+03 9.544255568581476723e-01 2.524714105033962815e-03
1.258925411794167459e+01 1.412537544622754027e+01 6.340000000000000000e+03 6.630000000000000000e+03 9.562594268476621862e-01 2.511732211994875241e-03
1.412537544622754027e+01 1.584893192461114175e+01 5.426000000000000000e+03 5.679000000000000000e+03 9.554499031519633201e-01 2.737740951656629593e-03
1.584893192461114175e+01 1.778279410038922848e+01 4.520000000000000000e+03 4.680000000000000000e+03 9.658119658119658224e-01 2.656197900701413091e-03
1.778279410038922848e+01 1.995262314968880801e+01 4.321000000000000000e+03 4.454000000000000000e+03 9.701392007184552746e-01 2.550308008015081049e-03
1.995262314968880801e+01 2.238721138568340052e+01 3.765000000000000000e+03 3.929000000000000000e+03 9.582590990073810433e-01 3.190666195390959910e-03
2.238721138568340052e+01 2.511886431509581996e+01 3.401000000000000000e+03 3.507000000000000000e+03 9.697747362418021044e-01 2.891030009595225818e-03
2.511886431509581996e+01 2.818382931264455138e+01 3.085000000000000000e+03 3.164000000000000000e+03 9.750316055625790623e-01 2.773872005492792562e-03
2.818382931264455138e+01 3.162277660168379256e+01 2.747000000000000000e+03 2.820000000000000000e+03 9.741134751773049549e-01 2.990316087522777461e-03
3.162277660168379256e+01 3.548133892335756912e+01 2.443000000000000000e+03 2.489000000000000000e+03 9.815186822016874757e-01 2.699624149155882818e-03
3.548133892335756912e+01 3.981071705534973404e+01 2.283000000000000000e+03 2.326000000000000000e+03 9.815133276010318264e-01 2.793010818742374963e-03
3.981071705534973404e+01 4.466835921509634488e+01 1.901000000000000000e+03 1.944000000000000000e+03 9.778806584362139676e-01 3.335653227634135989e-03
4.466835921509634488e+01 5.011872336272725192e+01 1.735000000000000000e+03 1.756000000000000000e+03 9.880410022779043677e-01 2.594015815270578774e-03
5.011872336272725192e+01 5.623413251903490817e+01 1.577000000000000000e+03 1.601000000000000000e+03 9.850093691442848298e-01 3.036927817681571353e-03
5.623413251903490817e+01 6.309573444801936404e+01 1.403000000000000000e+03 1.428000000000000000e+03 9.824929971988795030e-01 3.470615712982398193e-03
6.309573444801936404e+01 7.079457843841380793e+01 1.161000000000000000e+03 1.176000000000000000e+03 9.872448979591836871e-01 3.272282251470109548e-03
7.079457843841380793e+01 7.943282347242821118e+01 1.124000000000000000e+03 1.143000000000000000e+03 9.833770778652668465e-01 3.781730798741763343e-03
7.943282347242821118e+01 8.912509381337459047e+01 1.099000000000000000e+03 1.115000000000000000e+03 9.856502242152466176e-01 3.561611430487104848e-03
8.912509381337459047e+01 1.000000000000000000e+02 6.260000000000000000e+02 6.420000000000000000e+02 9.750778816199376919e-01 6.152400741497241789e-03
